,Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
0,Cooper Kupp,145,1947,16,30,9,59,89,61.4,0,846,192
1,Davante Adams,123,1553,11,19,4,59,84,68.3,0,613,169
2,Tyreek Hill,111,1239,9,13,3,75,75,67.6,2,444,159
3,Justin Jefferson,108,1616,10,27,5,56,75,69.4,1,482,170
4,Mark Andrews,107,1361,9,20,2,43,75,70.1,1,458,158
5,Diontae Johnson,107,1161,8,14,4,50,59,55.1,2,527,173
6,Keenan Allen,106,1138,6,12,2,42,66,62.3,1,337,158
7,Jaylen Waddle,104,1015,6,8,2,57,59,56.7,1,420,140
8,Stefon Diggs,103,1225,10,12,4,61,66,64.1,1,326,164
9,Hunter Renfrow,103,1038,9,10,1,54,51,49.5,1,452,129
10,Chris Godwin,98,1103,5,15,1,44,55,56.1,2,586,127
11,D.J. Moore,93,1157,4,16,1,64,60,64.5,1,426,164
12,Travis Kelce,92,1125,9,13,2,69,63,68.5,1,564,134
13,Marquise Brown,91,1008,6,15,3,49,41,45.0,3,388,147
14,Brandin Cooks,90,1037,6,12,5,52,46,51.1,0,343,134
15,Amon-Ra St. Brown,90,912,5,11,0,37,48,53.3,0,424,121
16,Michael Pittman,88,1082,6,12,3,57,55,62.5,1,348,130
17,Jakobi Meyers,83,866,2,12,0,39,42,50.6,1,222,128
18,Cole Beasley,82,693,1,5,0,29,34,41.5,1,305,113
19,Ja'Marr Chase,81,1455,13,22,8,82,56,69.1,2,651,128
20,Darnell Mooney,81,1055,4,14,3,64,49,60.5,0,381,141
21,CeeDee Lamb,79,1102,6,20,2,49,54,68.4,0,441,121
22,Dalton Schultz,78,808,8,6,0,32,43,55.1,0,348,106
23,Christian Kirk,77,982,5,16,4,50,44,57.1,0,243,103
24,Terry McLaurin,77,1053,5,15,3,46,47,61.0,0,317,130
0,Deebo Samuel,77,1405,6,23,9,83,51,66.2,4,780,121
1,Mike Williams,76,1146,9,17,9,72,51,67.1,0,415,130
2,DK Metcalf,75,967,12,11,2,84,48,64.0,1,328,129
3,Zach Ertz,74,763,5,7,1,47,40,54.0,0,340,113
4,Mike Evans,74,1035,14,20,3,46,56,75.7,0,239,114
5,Najee Harris,74,467,3,3,0,25,22,29.7,0,499,94
6,Tee Higgins,74,1091,6,17,2,54,53,71.6,1,290,111
7,Mike Gesicki,73,780,2,12,1,40,39,53.4,0,218,113
8,Marvin Jones,73,832,4,13,0,33,42,57.5,0,132,120
9,Tyler Lockett,73,1175,8,22,7,69,41,56.2,0,277,108
10,George Kittle,71,910,6,13,1,48,42,59.2,2,450,94
11,Austin Ekeler,70,647,8,3,1,40,31,44.3,4,627,95
12,Leonard Fournette,69,454,2,1,0,23,30,43.5,1,449,84
13,Amari Cooper,68,865,8,15,1,41,45,66.2,1,235,104
14,Noah Fant,68,670,4,7,0,35,29,42.6,0,309,91
15,Kyle Pitts,68,1026,1,16,2,61,43,63.2,0,313,110
16,Tyler Boyd,67,828,5,10,2,68,37,55.2,1,389,95
17,Adam Thielen,67,726,10,14,0,35,37,55.2,1,239,95
18,Russell Gage,66,770,4,8,1,49,37,56.1,2,253,94
19,DeVonta Smith,64,916,5,16,1,46,43,67.2,1,220,105
20,A.J. Brown,63,869,5,10,3,57,45,71.4,0,248,105
21,Laviska Shenault Jr.,63,619,0,5,2,58,30,47.6,1,389,100
22,D'Andre Swift,62,452,2,3,2,63,19,30.6,2,502,78
23,Tyler Conklin,61,593,3,4,1,40,26,42.6,1,326,87
24,Tyler Higbee,61,560,5,3,0,37,33,54.1,1,281,85
0,T.J. Hockenson,61,583,4,8,0,33,32,52.5,0,199,86
1,Pat Freiermuth,60,497,7,2,0,24,34,56.7,1,247,80
2,Cole Kmet,60,612,0,7,0,25,29,48.3,0,246,93
3,Chase Claypool,59,860,2,13,4,59,36,61.0,0,295,105
4,Mecole Hardman,59,693,2,8,4,53,33,55.9,1,502,83
5,Courtland Sutton,58,776,2,9,2,55,35,60.3,0,135,100
6,Brandon Aiyuk,56,826,5,16,1,43,37,66.1,1,349,86
7,Dallas Goedert,56,830,4,14,1,45,42,75.0,1,386,77
8,Kendrick Bourne,55,800,5,10,5,75,27,49.1,1,385,70
9,Rob Gronkowski,55,802,6,16,1,42,34,61.8,0,350,89
10,Darren Waller,55,665,2,13,0,33,31,56.4,0,242,93
11,A.J. Green,54,848,3,16,3,42,37,68.5,0,181,93
12,Josh Jacobs,54,348,0,2,0,29,14,25.9,0,395,64
13,Rondale Moore,54,435,1,3,1,77,18,33.3,1,438,64
14,Robbie Anderson,53,519,5,3,1,57,27,50.9,0,158,110
15,Tim Patrick,53,734,5,10,1,44,39,73.6,0,202,85
16,Aaron Jones,52,391,6,4,0,26,22,42.3,1,412,65
17,Jarvis Landry,52,570,2,7,0,38,29,55.8,1,286,87
18,Cordarrelle Patterson,52,548,5,8,2,64,26,50.0,0,385,69
19,Jamison Crowder,51,447,2,3,0,29,24,47.1,1,174,73
20,Hunter Henry,50,603,9,8,0,35,34,68.0,0,144,75
21,Van Jefferson,50,802,6,12,4,79,32,64.0,0,216,89
22,K.J. Osborn,50,655,7,10,2,64,26,52.0,0,179,82
23,Myles Gaskin,49,234,4,2,0,24,13,26.5,0,224,63
24,Dawson Knox,49,587,9,8,2,53,31,63.3,0,277,71
0,C.J. Uzomah,49,493,5,7,1,55,24,49.0,0,300,63
1,Jared Cook,48,564,4,7,1,42,31,64.6,0,238,85
2,Gerald Everett,48,478,4,5,1,41,26,54.2,2,249,63
3,Kalif Raymond,48,576,4,8,1,75,28,58.3,0,262,71
4,Ezekiel Elliott,47,287,2,1,0,21,17,36.2,0,295,65
5,Zay Jones,47,546,1,8,2,43,29,61.7,1,170,70
6,Alvin Kamara,47,439,5,4,0,31,20,42.6,0,437,67
7,Darrel Williams,47,452,2,4,0,38,19,40.4,0,435,57
8,Rashod Bateman,46,515,1,8,0,36,29,63.0,0,171,68
9,Braxton Berrios,46,431,2,5,1,46,22,47.8,1,264,65
10,Marquez Callaway,46,698,6,9,3,58,32,69.6,0,144,84
11,Evan Engram,46,408,3,2,0,30,21,45.6,1,185,73
12,Ced Wilson,45,602,6,8,2,73,27,60.0,1,260,62
13,Robert Woods,45,556,4,8,0,28,34,75.6,0,198,70
14,Odell Beckham Jr.,44,537,5,7,2,54,27,61.4,0,151,83
15,Mike Davis,44,259,1,2,0,20,12,27.3,2,306,58
16,Chase Edmonds,43,311,0,2,0,36,11,25.6,1,324,53
17,J.D. McKissic,43,397,2,3,1,56,15,34.9,0,380,54
18,Elijah Moore,43,538,5,9,1,62,24,55.8,0,207,78
19,Quez Watkins,43,647,1,12,3,91,25,58.1,0,253,63
20,Javonte Williams,43,316,3,2,1,42,12,27.9,0,343,53
21,Antonio Brown,42,545,4,10,2,62,29,69.0,0,190,62
22,Antonio Gibson,42,294,3,2,1,73,12,28.6,1,333,53
23,DeAndre Hopkins,42,572,8,7,1,55,32,76.2,0,140,64
24,Joe Mixon,42,314,3,3,3,52,11,26.2,1,318,48
0,David Montgomery,42,301,0,0,0,16,18,42.9,0,273,51
1,Byron Pringle,42,568,5,11,1,40,32,76.2,0,187,60
2,Emmanuel Sanders,42,626,4,10,1,41,31,73.8,0,85,73
3,Saquon Barkley,41,263,2,1,1,54,13,31.7,1,298,57
4,Brandon Bolden,41,405,2,5,0,28,21,51.2,0,416,49
5,Adam Humphries,41,383,0,4,0,27,23,56.1,0,150,62
6,Devontae Booker,40,268,1,1,1,41,11,27.5,0,289,45
7,Nyheim Hines,40,310,1,2,0,36,15,37.5,1,276,57
8,Allen Lazard,40,513,8,8,1,42,28,70.0,0,168,60
9,DeVante Parker,40,515,2,7,1,42,29,72.5,0,104,73
10,Devin Singletary,40,228,1,0,0,19,11,27.5,3,242,50
11,Jonathan Taylor,40,360,2,5,1,76,12,30.0,1,406,52
12,Ray-Ray McCloud,39,277,0,2,0,24,18,46.2,1,116,66
13,Tony Pollard,39,337,0,2,0,32,15,38.5,2,341,47
14,Kadarius Toney,39,420,0,5,0,38,21,53.8,0,228,57
15,Ameer Abdullah,38,289,1,1,0,23,13,34.2,0,294,53
16,Austin Hooper,38,345,3,4,0,34,18,47.4,0,185,62
17,Jerry Jeudy,38,467,0,7,1,40,22,57.9,1,185,56
18,Zach Pascal,38,384,3,5,1,41,16,42.1,1,121,69
19,Allen Robinson,38,410,1,5,0,39,22,57.9,0,101,67
20,Nick Westbrook-Ikhine,38,476,4,5,1,46,23,60.5,1,144,57
21,Nelson Agholor,37,473,3,9,1,44,23,62.2,0,104,64
22,James Conner,37,375,3,5,1,45,18,48.6,0,382,39
23,Kenny Golladay,37,521,0,5,0,36,27,73.0,0,119,77
24,Christian McCaffrey,37,343,1,4,0,32,21,56.8,0,258,41
0,Michael Carter,36,325,0,2,0,23,17,47.2,1,341,55
1,Deonte Harty,36,570,3,5,4,72,23,63.9,0,241,59
2,Tyler Johnson,36,360,0,4,0,31,14,38.9,0,137,56
3,David Njoku,36,475,4,8,2,71,17,47.2,0,247,53
4,Sterling Shepard,36,366,1,4,0,37,19,52.8,0,111,53
5,Dan Arnold,35,408,0,2,0,28,20,57.1,1,188,53
6,Gabe Davis,35,549,6,13,1,49,29,82.9,0,132,63
7,Michael Gallup,35,445,2,6,2,41,23,65.7,0,123,62
8,Dalvin Cook,34,224,0,1,0,24,9,26.5,0,278,49
9,Corey Davis,34,492,4,9,1,53,23,67.6,2,124,59
10,AJ Dillon,34,313,2,3,1,50,15,44.1,1,310,37
11,Bryan Edwards,34,571,3,11,1,51,26,76.5,1,190,60
12,Anthony Firkser,34,291,2,1,0,24,15,44.1,1,111,43
13,Devonta Freeman,34,190,1,0,0,15,9,26.5,0,178,42
14,Ty Johnson,34,372,2,3,0,23,20,58.8,0,334,55
15,Donovan Peoples-Jones,34,597,3,12,3,60,26,76.5,1,146,59
16,Durham Smythe,34,357,0,5,0,25,15,44.1,0,151,41
17,Nico Collins,33,446,1,8,0,32,23,69.7,0,121,60
18,Devin Duvernay,33,272,2,1,0,21,14,42.4,0,141,47
19,Kenneth Gainwell,33,253,1,0,0,19,14,42.4,0,226,50
20,Albert Okwuegbunam,33,330,2,3,1,64,15,45.4,1,245,40
21,Josh Palmer,33,353,4,3,0,36,18,54.6,0,94,49
22,Jalen Reagor,33,299,2,4,0,34,13,39.4,0,151,57
23,Laquon Treadwell,33,434,1,6,2,41,22,66.7,0,126,51
24,David Johnson,32,225,1,0,0,16,11,34.4,0,169,42
0,Alexander Mattison,32,228,1,3,0,24,10,31.2,0,238,39
1,Tre'Quan Smith,32,377,3,6,0,34,18,56.2,1,113,51
2,Jalen Guyton,31,448,3,5,2,59,21,67.7,0,149,48
3,Julio Jones,31,434,1,4,2,51,19,61.3,0,112,48
4,Calvin Ridley,31,281,2,3,0,22,16,51.6,0,91,52
5,James Robinson,31,222,0,1,0,26,9,29.0,2,230,46
6,Geoff Swaim,31,210,3,2,0,26,12,38.7,0,139,40
7,Olamide Zaccheaus,31,406,3,4,2,49,22,71.0,0,96,54
8,Cameron Brate,30,245,4,0,0,18,15,50.0,0,81,57
9,Kenyan Drake,30,291,1,3,0,31,12,40.0,0,259,40
10,Kyle Juszczyk,30,296,1,2,0,26,16,53.3,0,151,38
11,Foster Moreau,30,373,3,6,1,44,16,53.3,1,189,44
12,Chester Rogers,30,301,1,3,0,39,12,40.0,0,103,43
13,Ricky Seals-Jones,30,271,2,1,0,39,14,46.7,0,157,51
14,Jack Doyle,29,302,3,3,0,34,18,62.1,0,125,45
15,Darrell Henderson,29,176,3,2,0,25,8,27.6,0,180,40
16,Josh Reynolds,29,396,2,6,0,39,21,72.4,0,119,49
17,Randall Cobb,28,375,5,6,1,54,21,75.0,0,138,39
18,Keelan Cole,28,449,1,7,2,54,20,71.4,0,85,52
19,Melvin Gordon,28,213,2,3,0,30,9,32.1,0,186,38
20,Jeremy McNichols,28,240,1,3,0,27,11,39.3,0,259,38
21,Jonnu Smith,28,294,1,5,0,28,15,53.6,1,232,45
22,Ryan Griffin,27,261,2,4,0,29,14,51.8,1,149,42
23,Mark Ingram,27,162,0,1,0,34,9,33.3,0,164,36
24,Samaje Perine,27,196,1,1,0,23,9,33.3,0,198,31
0,Adam Trautman,27,263,2,2,0,32,13,48.2,1,111,44
1,Sammy Watkins,27,394,1,6,1,49,17,63.0,1,99,49
2,Damiere Byrd,26,329,1,3,1,54,18,69.2,0,116,39
3,Hayden Hurst,26,221,3,1,0,33,11,42.3,3,89,31
4,Kyle Rudolph,26,257,1,3,1,60,12,46.2,0,137,40
5,Miles Sanders,26,158,0,1,0,25,6,23.1,0,227,34
6,Darius Slayton,26,339,2,4,1,42,14,53.8,1,65,58
7,Marquez Valdes-Scantling,26,430,3,8,3,75,18,69.2,0,146,56
8,Jamaal Williams,26,157,0,0,0,15,6,23.1,0,156,28
9,Rex Burkhead,25,186,0,2,0,20,9,36.0,0,141,32
10,Josiah Deguara,25,245,2,3,1,62,9,36.0,0,204,33
11,Chuba Hubbard,25,174,1,1,0,33,8,32.0,0,160,37
12,Demarcus Robinson,25,264,3,3,0,33,13,52.0,0,62,41
13,Tajae Sharpe,25,230,0,0,0,17,14,56.0,0,69,37
14,Freddie Swain,25,343,4,6,2,68,12,48.0,0,206,41
15,Albert Wilson,25,213,0,1,1,64,10,40.0,0,138,39
16,Jamal Agnew,24,229,1,4,0,29,14,58.3,0,118,40
17,Jordan Akins,24,214,0,1,0,31,11,45.8,2,82,33
18,Mo Alie-Cox,24,316,4,5,0,37,14,58.3,1,150,45
19,Danny Amendola,24,248,3,4,0,39,10,41.7,1,69,39
20,Tavon Austin,24,213,1,2,0,25,11,45.8,0,59,37
21,DeAndre Carter,24,296,3,5,0,26,17,70.8,0,78,44
22,Rashard Higgins,24,275,1,1,0,21,16,66.7,0,47,47
23,Jauan Jennings,24,282,5,4,0,34,15,62.5,1,103,38
24,James O'Shaughnessy,24,244,0,5,0,30,10,41.7,0,114,35
0,Henry Ruggs III,24,469,2,9,4,61,16,66.7,0,109,36
1,James Washington,24,285,2,4,1,42,9,37.5,0,79,44
2,Giovani Bernard,23,123,3,1,0,32,8,34.8,1,134,29
3,Pharaoh Brown,23,171,0,2,0,29,6,26.1,1,106,34
4,JaMycal Hasty,23,157,0,1,0,23,7,30.4,1,128,29
5,T.Y. Hilton,23,331,3,4,2,52,15,65.2,0,71,37
6,Marcedes Lewis,23,214,0,3,0,23,10,43.5,1,144,28
7,Zack Moss,23,197,1,1,0,24,12,52.2,2,200,32
8,Chris Conley,22,323,2,5,2,41,15,68.2,1,95,37
9,Kareem Hunt,22,174,0,1,0,23,11,50.0,0,174,27
10,Justin Jackson,22,178,0,1,0,25,8,36.4,0,165,25
11,Harrison Bryant,21,233,3,4,1,41,14,66.7,0,79,28
12,DeeJay Dallas,21,133,0,1,0,29,4,19.0,1,110,23
13,Will Dissly,21,231,1,5,0,39,11,52.4,1,143,26
14,Sony Michel,21,128,1,1,0,24,6,28.6,0,133,33
15,Chris Moore,21,227,2,4,1,67,6,28.6,0,147,22
16,John Bates,20,249,0,4,0,32,11,55.0,1,139,25
17,Nick Chubb,20,174,1,2,1,40,9,45.0,0,172,25
18,Marquise Goodwin,20,313,1,5,2,50,12,60.0,1,83,40
19,DeSean Jackson,20,454,2,6,4,75,12,60.0,1,175,34
20,Brevin Jordan,20,178,3,2,0,27,10,50.0,0,94,28
21,Isaiah McKenzie,20,178,1,1,0,28,13,65.0,0,81,26
22,Donald Parham,20,190,3,1,0,22,13,65.0,0,135,28
23,Tommy Tremble,20,180,1,1,0,30,10,50.0,0,70,36
24,Clyde Edwards-Helaire,19,129,2,1,0,29,8,42.1,0,169,25
0,Zach Gentry,19,167,0,2,0,25,11,57.9,0,127,25
1,Dontrell Hilliard,19,87,0,1,0,28,7,36.8,1,108,26
2,D'Ernest Johnson,19,137,0,0,0,18,7,36.8,1,138,25
3,Elijah Mitchell,19,137,1,0,0,14,6,31.6,0,151,20
4,Antoine Wesley,19,208,3,4,0,33,9,47.4,0,61,32
5,Demetric Felton,18,181,2,2,0,33,10,55.6,0,201,21
6,Damien Harris,18,132,0,1,0,21,4,22.2,0,134,21
7,Derrick Henry,18,154,0,0,0,16,7,38.9,0,160,20
8,Ian Thomas,18,188,0,3,1,41,6,33.3,0,92,30
9,Logan Thomas,18,196,3,2,0,35,10,55.6,1,72,25
10,Robert Tonyan,18,204,2,4,0,33,10,55.6,0,110,29
11,Brandon Zylstra,18,250,1,4,1,55,10,55.6,0,118,25
12,C.J. Ham,17,125,0,1,0,27,6,35.3,0,61,18
13,Terrace Marshall Jr.,17,138,0,1,0,23,7,41.2,0,61,31
14,Stephen Anderson,16,165,1,3,0,34,9,56.2,0,115,19
15,Noah Brown,16,184,0,3,0,27,6,37.5,0,68,25
16,Travis Homer,16,161,0,3,0,31,8,50.0,0,128,20
17,Tyler Kroft,16,173,1,3,0,26,9,56.2,0,74,25
18,Ty Montgomery,16,95,0,1,0,21,5,31.2,0,87,26
19,James Proche,16,202,0,2,0,32,10,62.5,0,55,20
20,Damien Williams,16,103,1,1,0,23,3,18.8,0,109,23
21,Maxx Williams,16,193,1,3,0,34,9,56.2,0,125,17
22,Quintez Cephus,15,204,2,5,1,46,9,60.0,0,95,23
23,Chris Evans,15,151,2,1,0,24,6,40.0,0,113,17
24,Kendall Hinton,15,175,1,2,1,40,10,66.7,0,57,23
0,Mohamed Sanu,15,177,0,1,0,21,12,80.0,0,44,24
1,Cam Sims,15,211,2,2,1,43,11,73.3,0,42,23
2,JuJu Smith-Schuster,15,129,0,1,0,24,6,40.0,0,68,28
3,Jimmy Graham,14,167,3,2,0,28,10,71.4,0,55,24
4,Khalil Herbert,14,96,0,1,0,20,6,42.9,0,101,16
5,Mack Hollins,14,223,4,4,2,65,11,78.6,0,35,29
6,O.J. Howard,14,135,1,1,0,21,10,71.4,0,83,21
7,MyCole Pruitt,14,145,3,2,0,22,10,71.4,0,59,19
8,Rhamondre Stevenson,14,123,0,2,1,41,3,21.4,1,145,18
9,Ashton Dulin,13,173,2,2,1,62,9,69.2,0,50,22
10,KhaDarel Hodge,13,157,0,2,1,42,7,53.8,0,37,28
11,Lil'Jordan Humphrey,13,249,2,6,1,56,9,69.2,0,101,19
