,concat_index,Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM,season_year
0,0,Byron Murphy,48.0,1,48,0,1,1,48,0,0,2021
1,1,Brandon Powell,22.2,6,133,1,2,1,61,4,0,2021
2,2,C.J. Board,16.5,2,33,0,1,0,26,5,0,2021
3,3,Alex Bachman,16.0,1,16,0,0,0,16,1,0,2021
4,4,Travis Benjamin,15.7,3,47,0,1,0,22,2,0,2021
5,5,Devin Duvernay,13.8,26,360,0,6,1,42,24,1,2021
6,6,Mike Hughes,13.6,5,68,0,1,0,37,5,0,2021
7,7,Braxton Berrios,13.4,15,201,0,1,0,28,25,0,2021
8,8,Dazz Newsome,12.5,6,75,0,1,0,28,2,0,2021
9,9,Jakeem Grant,12.4,25,309,1,4,1,97,2,1,2021
10,10,Mecole Hardman,12.1,13,157,0,3,0,31,5,1,2021
11,11,Kendall Hinton,12.0,2,24,0,0,0,15,2,0,2021
12,12,Mohamed Sanu,12.0,2,24,0,0,0,13,3,0,2021
13,13,Olamide Zaccheaus,12.0,3,36,0,0,0,17,2,0,2021
14,14,Easop Winston,11.9,10,119,0,1,0,34,5,0,2021
15,15,Gunner Olszewski,11.9,26,309,0,4,0,27,10,0,2021
16,16,Kalif Raymond,11.2,21,236,0,2,1,48,15,0,2021
17,17,David Moore,11.0,3,33,0,1,0,21,1,0,2021
18,18,Trenton Irwin,10.3,3,31,0,0,0,15,4,0,2021
19,19,Hunter Renfrow,10.1,30,303,0,3,1,41,20,3,2021
20,20,Chester Rogers,10.1,29,293,0,2,1,55,20,2,2021
21,21,J.J. Koski,10.0,2,20,0,0,0,13,1,0,2021
22,22,CeeDee Lamb,9.9,14,139,0,1,0,21,9,0,2021
23,23,Jaydon Mickens,9.7,14,136,0,1,1,48,11,0,2021
24,24,Alvin Kamara,9.7,3,29,0,0,0,14,0,0,2021
25,0,Ray-Ray McCloud,9.7,38,367,0,2,0,23,12,1,2021
26,1,Deonte Harty,9.5,21,199,0,2,0,26,15,1,2021
27,2,Marquez Stevenson,9.4,14,132,0,0,0,19,1,1,2021
28,3,Micah Hyde,9.2,4,37,0,0,0,17,0,0,2021
29,4,Desmond King,9.1,17,154,0,1,0,20,7,0,2021
30,5,D.J. Moore,9.0,1,9,0,0,0,9,0,0,2021
31,6,Rondale Moore,9.0,19,171,0,1,0,27,10,2,2021
32,7,Alex Erickson,8.9,23,204,0,1,0,22,30,0,2021
33,8,Jaylen Waddle,8.8,4,35,0,0,0,15,3,1,2021
34,9,Freddie Swain,8.6,22,189,0,2,0,22,22,1,2021
35,10,Diontae Spencer,8.6,24,206,0,1,0,25,12,2,2021
36,11,DeAndre Carter,8.4,16,134,0,0,0,16,19,1,2021
37,12,Dede Westbrook,8.3,22,183,0,1,1,45,18,1,2021
38,13,Amari Rodgers,8.3,20,166,0,1,0,23,8,1,2021
39,14,Pharoh Cooper,8.2,11,90,0,0,0,17,10,0,2021
40,15,Nyheim Hines,8.1,21,170,0,0,0,16,14,2,2021
41,16,Greg Dortch,8.0,3,24,0,0,0,17,0,0,2021
42,17,Cooper Kupp,8.0,1,8,0,0,0,8,20,0,2021
43,18,Donovan Peoples-Jones,7.9,12,95,0,1,0,20,3,0,2021
44,19,Kenjon Barner,7.8,6,47,0,1,0,20,1,0,2021
45,20,Isaiah McKenzie,7.7,19,147,0,2,0,26,6,1,2021
46,21,Darius Phillips,7.7,23,177,0,0,0,17,12,2,2021
47,22,Jevon Holland,7.7,12,92,0,0,0,16,14,1,2021
48,23,Avery Williams,7.6,20,153,0,1,0,23,12,0,2021
49,24,Jaelon Darden,7.5,19,142,0,1,1,43,5,0,2021
50,0,Trent Taylor,7.4,7,52,0,0,0,12,5,0,2021
51,1,Jalen Reagor,7.3,31,227,0,3,0,39,15,1,2021
52,2,Brandon Aiyuk,7.2,29,208,0,2,0,27,12,1,2021
53,3,Demetric Felton,7.1,32,227,0,3,0,24,2,4,2021
54,4,Jakobi Meyers,7.0,1,7,0,0,0,7,2,0,2021
55,5,K.J. Hill,6.8,6,41,0,0,0,12,3,0,2021
56,6,Jamal Agnew,6.7,11,74,0,0,0,14,21,0,2021
57,7,Jabrill Peppers,6.4,9,58,0,0,0,19,3,0,2021
58,8,Nick Kwiatkoski,6.0,1,6,0,0,0,6,0,0,2021
59,9,Greg Ward,6.0,2,12,0,0,0,12,1,0,2021
60,10,K.J. Osborn,5.8,4,23,0,0,0,11,2,0,2021
61,11,Tutu Atwell,5.4,10,54,0,0,0,17,1,0,2021
62,12,Andre Roberts,5.2,19,99,0,0,0,15,11,1,2021
63,13,Trevon Diggs,5.0,2,10,0,0,0,9,0,0,2021
64,14,JoJo Natson,5.0,3,15,0,0,0,8,0,0,2021
65,15,Nsimba Webster,4.3,3,13,0,0,0,6,1,1,2021
66,16,Ced Wilson,3.6,10,36,0,0,0,14,5,1,2021
67,17,Giovani Bernard,3.5,2,7,0,0,0,6,2,0,2021
68,18,Tavon Austin,3.0,1,3,0,0,0,3,0,1,2021
69,19,Keelan Cole,3.0,1,3,0,0,0,3,0,0,2021
70,20,Tyler Lockett,3.0,1,3,0,0,0,3,0,0,2021
71,21,Demarcus Robinson,3.0,1,3,0,0,0,3,0,0,2021
72,22,Marquez Callaway,2.0,1,2,0,0,0,2,2,0,2021
73,23,Javin White,2.0,1,2,0,0,0,2,0,0,2021
74,24,Cameron Sutton,1.5,2,3,0,0,0,3,0,0,2021
75,0,Tommylee Lewis,1.3,3,4,0,0,0,5,2,0,2021
76,1,Tyler Boyd,1.0,1,1,0,0,0,1,1,0,2021
77,2,Tremon Smith,1.0,1,1,0,0,0,1,1,0,2021
78,3,Danny Amendola,0.0,0,0,0,0,0,0,1,0,2021
79,4,Damiere Byrd,0.0,0,0,0,0,0,0,0,1,2021
80,5,Randall Cobb,0.0,0,0,0,0,0,0,0,1,2021
81,6,Maurice Ffrench,0.0,0,0,0,0,0,0,1,0,2021
82,7,Jalen Guyton,0.0,0,0,0,0,0,0,1,0,2021
83,8,N'Keal Harry,0.0,0,0,0,0,0,0,0,1,2021
84,9,Chris Jackson,0.0,0,0,0,0,0,0,0,0,2021
85,10,Jerry Jacobs,0.0,1,0,0,0,0,0,0,1,2021
86,11,Mason Kinsey,0.0,0,0,0,0,0,0,1,0,2021
87,12,Chris Milton,0.0,0,0,0,0,0,0,0,1,2021
88,13,Ryan Neal,0.0,0,0,0,0,0,0,1,0,2021
89,14,Dante Pettis,0.0,1,0,0,0,0,0,1,1,2021
90,15,Amon-Ra St. Brown,0.0,0,0,0,0,0,0,1,0,2021
91,16,Chandon Sullivan,0.0,0,0,0,0,0,0,1,0,2021
92,17,Malik Taylor,0.0,1,0,0,0,0,0,0,1,2021
93,18,Kadarius Toney,0.0,1,0,0,0,0,0,1,0,2021
94,19,Nahshon Wright,0.0,0,0,0,0,0,0,0,1,2021
95,20,,0.0,0,0,0,0,0,0,0,0,2021
96,21,Christian Kirk,-5.0,1,-5,0,0,0,0,6,0,2021
97,0,Avery Williams,16.2,18,292,0,3,1,56,19,1,2022
98,1,Tremon Smith,13.2,4,53,0,1,0,26,2,0,2022
99,2,Kalif Raymond,13.2,20,264,1,3,2,47,20,1,2022
100,3,Pharoh Cooper,13.0,9,117,0,1,0,28,6,0,2022
101,4,Keisean Nixon,12.7,11,140,0,1,0,24,0,0,2022
102,5,Marquez Callaway,12.5,2,25,0,1,0,21,4,0,2022
103,6,Marcus Jones,12.5,29,362,1,5,1,84,8,1,2022
104,7,Kyle Philips,12.4,5,62,0,1,1,46,2,2,2022
105,8,Donovan Peoples-Jones,12.4,18,223,1,2,1,76,10,0,2022
106,9,Kendall Hinton,12.3,3,37,0,0,0,17,2,0,2022
107,10,Devin Duvernay,11.9,16,190,0,2,2,46,18,1,2022
108,11,DeAndre Carter,11.7,29,339,0,4,0,28,17,1,2022
109,12,Braxton Berrios,11.4,21,240,0,2,0,22,28,1,2022
110,13,Jamison Crowder,11.1,9,100,0,1,0,20,4,1,2022
111,14,Ray-Ray McCloud,10.8,33,356,0,3,0,35,21,1,2022
112,15,C.J. Board,10.5,14,147,0,0,0,19,5,1,2022
113,16,Jaelon Darden,10.4,33,345,0,2,0,24,19,0,2022
114,17,KaVontae Turpin,10.4,29,303,0,4,1,52,26,3,2022
115,18,Trent Taylor,10.3,33,340,0,5,0,27,19,2,2022
116,19,Deven Thompkins,10.2,6,61,0,0,0,14,10,1,2022
117,20,Nyheim Hines,9.8,27,264,0,3,0,28,14,2,2022
118,21,Rashid Shaheed,9.6,20,193,0,1,1,42,25,0,2022
119,22,Desmond King,9.4,33,309,0,2,0,31,16,1,2022
120,23,Britain Covey,9.3,33,308,0,3,0,27,18,2,2022
121,24,Randall Cobb,9.2,4,37,0,0,0,15,1,0,2022
122,0,Raheem Blackshear,9.2,6,55,0,1,0,21,0,1,2022
123,1,Mecole Hardman,9.2,6,55,0,2,0,22,2,1,2022
124,2,Dante Pettis,9.1,18,163,0,2,0,27,8,1,2022
125,3,Keke Coutee,8.9,17,152,0,0,0,19,9,3,2022
126,4,Jarvis Landry,8.5,2,17,0,0,0,14,1,0,2022
127,5,Montrell Washington,8.5,32,271,0,3,0,30,14,4,2022
128,6,Jamal Agnew,8.2,25,205,0,1,0,22,12,0,2022
129,7,Robert Woods,8.2,11,90,0,1,0,21,14,1,2022
130,8,Justin Watson,7.8,5,39,0,0,0,17,3,0,2022
131,9,Dax Milne,7.8,40,311,0,0,0,19,22,1,2022
132,10,Khalil Shakir,7.7,3,23,0,0,0,17,3,0,2022
133,11,DeVonta Smith,7.5,2,15,0,0,0,12,0,0,2022
134,12,Ced Wilson,7.5,13,97,0,0,0,15,16,0,2022
135,13,Brandon Powell,7.4,24,177,0,1,0,22,19,1,2022
136,14,DeeJay Dallas,7.3,14,102,0,1,0,20,11,1,2022
137,15,Richie James,7.2,24,174,0,2,0,23,14,3,2022
138,16,Velus Jones Jr.,7.0,5,35,0,0,0,19,1,2,2022
139,17,Tyler Lockett,7.0,1,7,0,0,0,7,8,1,2022
140,18,Amari Rodgers,7.0,20,139,0,1,0,20,15,4,2022
141,19,Gunner Olszewski,6.9,8,55,0,1,0,20,5,2,2022
142,20,Hunter Renfrow,6.7,11,74,0,0,0,17,4,0,2022
143,21,Greg Dortch,6.6,26,172,0,0,0,18,5,1,2022
144,22,Isaiah Rodgers,6.5,2,13,0,0,0,13,1,1,2022
145,23,Jalen Reagor,6.4,26,167,0,2,0,25,14,4,2022
146,24,Alex Erickson,6.2,4,25,0,0,0,13,4,0,2022
147,0,Christian Kirk,6.2,4,25,0,0,0,10,2,0,2022
148,1,Shi Smith,6.2,23,143,0,1,0,22,9,3,2022
149,2,Skyy Moore,6.1,14,86,0,0,0,15,4,3,2022
150,3,Kadarius Toney,6.1,10,61,0,0,0,9,4,1,2022
151,4,Keelan Cole,6.1,13,79,0,0,0,13,8,1,2022
152,5,Demetric Felton,6.0,7,42,0,0,0,15,1,1,2022
153,6,James Proche,6.0,4,24,0,0,0,9,2,0,2022
154,7,Myles Bryant,5.6,10,56,0,0,0,16,2,1,2022
155,8,Steven Sims,5.5,19,105,0,1,0,24,13,3,2022
156,9,Jevon Holland,4.5,4,18,0,0,0,8,10,1,2022
157,10,Andre Roberts,4.5,4,18,0,0,0,10,6,1,2022
158,11,Chester Rogers,4.5,4,18,0,0,0,7,4,1,2022
159,12,Dallis Flowers,4.3,3,13,0,0,0,9,8,1,2022
160,13,Deonte Harty,2.7,3,8,0,0,0,12,7,1,2022
161,14,Dontrell Hilliard,2.0,2,4,0,0,0,4,0,0,2022
162,15,Adoree' Jackson,1.7,3,5,0,0,0,3,1,0,2022
163,16,DJ Turner,1.5,2,3,0,0,0,3,0,1,2022
164,17,Jake Gervase,1.0,1,1,0,0,0,1,0,0,2022
165,18,Xavier Crawford,0.0,1,0,0,0,0,0,0,1,2022
166,19,Nick Cross,0.0,1,0,0,0,0,0,0,1,2022
167,20,Dee Delaney,0.0,1,0,0,0,0,0,0,1,2022
168,21,Trestan Ebner,0.0,0,0,0,0,0,0,1,0,2022
169,22,Darnay Holmes,0.0,1,0,0,0,0,0,0,0,2022
170,23,Amani Hooker,0.0,1,0,0,0,0,0,0,1,2022
171,24,Brandon Johnson,0.0,1,0,0,0,0,0,0,1,2022
172,0,Tyron Johnson,0.0,1,0,0,0,0,0,0,0,2022
173,1,Taiwan Jones,0.0,1,0,0,0,0,0,0,1,2022
174,2,Mason Kinsey,0.0,2,0,0,0,0,0,3,1,2022
175,3,Chris Lammons,0.0,1,0,0,0,0,0,0,0,2022
176,4,Jason Pinnock,0.0,1,0,0,0,0,0,0,1,2022
177,5,Jalen Ramsey,0.0,0,5,0,0,0,5,0,0,2022
178,6,Freddie Swain,0.0,1,0,0,0,0,0,0,1,2022
179,7,Keith Taylor,0.0,1,0,0,0,0,0,0,1,2022
180,8,Josh Thompson,0.0,1,0,0,0,0,0,0,1,2022
181,9,Jaylen Waddle,0.0,0,0,0,0,0,0,1,0,2022
182,10,,0.0,0,0,0,0,0,0,0,0,2022
183,11,,0.0,0,0,0,0,0,0,0,0,2022
184,12,,0.0,0,0,0,0,0,0,0,0,2022
185,13,,0.0,0,0,0,0,0,0,0,0,2022
186,14,,0.0,0,0,0,0,0,0,0,0,2022
187,15,,0.0,0,0,0,0,0,0,0,0,2022
188,16,,0.0,0,0,0,0,0,0,0,0,2022
189,17,,0.0,0,0,0,0,0,0,0,0,2022
190,18,,0.0,0,0,0,0,0,0,0,0,2022
191,19,,0.0,0,0,0,0,0,0,0,0,2022
192,20,,0.0,0,0,0,0,0,0,0,0,2022
193,21,,0.0,0,0,0,0,0,0,0,0,2022
194,22,,0.0,0,0,0,0,0,0,0,0,2022
195,23,,0.0,0,0,0,0,0,0,0,0,2022
196,24,,0.0,0,0,0,0,0,0,0,0,2022
197,0,,0.0,0,0,0,0,0,0,0,0,2022
198,1,,0.0,0,0,0,0,0,0,0,0,2022
199,2,,0.0,0,0,0,0,0,0,0,0,2022
200,3,,0.0,0,0,0,0,0,0,0,0,2022
201,4,,0.0,0,0,0,0,0,0,0,0,2022
202,5,,0.0,0,0,0,0,0,0,0,0,2022
203,6,,0.0,0,0,0,0,0,0,0,0,2022
204,7,,0.0,0,0,0,0,0,0,0,0,2022
205,8,,0.0,0,0,0,0,0,0,0,0,2022
206,9,,0.0,0,0,0,0,0,0,0,0,2022
207,10,,0.0,0,0,0,0,0,0,0,0,2022
208,11,,0.0,0,0,0,0,0,0,0,0,2022
209,12,,0.0,0,0,0,0,0,0,0,0,2022
210,13,,0.0,0,0,0,0,0,0,0,0,2022
211,14,,0.0,0,0,0,0,0,0,0,0,2022
212,15,,0.0,0,0,0,0,0,0,0,0,2022
213,16,,0.0,0,0,0,0,0,0,0,0,2022
214,17,Tyreek Hill,-2.0,2,-4,0,0,0,-2,2,0,2022
